EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGM,PenaltyCorner3FGA,Travels,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,Technical Free Throw Trips,DefensiveGoaltends,Loose Ball Fouls,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,BlockedLongMidRange,Clear Path Fouls,BlockedCorner3,Corner3PctBlocked,Transition Take Fouls Drawn,3SecondViolations,Transition Take Fouls,HeaveMakes,Defensive 3 Seconds Violations,OffensiveGoaltends
1627749-1628381-1629027-1629631-203991,1610612737,"Dejounte Murray, John Collins, Trae Young, De'Andre Hunter, Clint Capela","Murray, Collins, Young, Hunter, Capela",1627749-1628381-1629027-1629631-203991,ATL,5136.0,5,86.0,-32.0,181.0,185.0,21.0,15.0,20.0,366.0,30.0,47.0,7.0,8.0,1.0,2.0,17.0,46.0,11.0,18.0,5.0,14.0,2.0,2.0,9.0,45.0,1.0,1.0,5.0,58.0,111.0,14.0,59.0,22.0,180.0,212.0,9.0,12.0,2.0,3.0,6.0,30.0,6.0,14.0,1.0,5.0,8.0,23.0,64.0,52.0,36.0,6.0,6.0,45.0,9.0,13.0,1.0,32.0,12.0,44.0,7.0,5.0,18.0,10.0,4.0,100.0,10.0,15.0,37.0,30.0,2.0,69.0,25.0,94.0,1.0,14.0,7.0,7.0,13.0,5.0,8.0,13.0,2.0,5.0,2.0,26.0,4.0,1.0,13.0,29.0,1.0,2.0,28.0,1.0,4.0,4.0,27.0,7.0,13.0,4.0,9.0,7.0,2.0,9.0,6.0,150.0,23.0,21.0,2.0,3.0,0.5517241379310345,0.5818181818181818,0.8571428571428571,0.23728813559322035,0.6666666666666666,0.2,0.23728813559322035,0.5225225225225225,0.75,0.42857142857142855,0.4647058823529412,0.8,0.39473684210526316,0.5,0.7894736842105263,0.5,0.34705882352941175,0.01694915254237288,0.11711711711711711,0.10638297872340426,0.17391304347826086,0.022222222222222223,0.5,1.0,0.75,0.2830188679245283,0.8043478260869565,0.2222222222222222,0.7790697674418605,0.25510204081632654,0.29411764705882354,0.27586206896551724,0.2857142857142857,0.2222222222222222,0.2222222222222222,0.6190476190476191,0.8333333333333334,1.0,0.8205128205128205,0.7142857142857143,0.011904761904761904,102.61682242990655,0.6666666666666666,14.193370165745856,13.875675675675677,13.546961325966851,13.232432432432432,0.27647058823529413,0.6382978723404256,0.7142857142857143,0.6,0.27058823529411763,0.3695652173913043,0.4473684210526316,0.5882352941176471,0.10588235294117647,0.6111111111111112,0.6111111111111112,0.36363636363636365,0.08235294117647059,0.35714285714285715,0.35714285714285715,1.0,0.2647058823529412,0.2,0.20454545454545456,0.7777777777777778,0.5333333333333333,0.875,0.42857142857142855,0.13333333333333333,1.0,1.0,0.06666666666666667,0.10526315789473684,0.5,0.2631578947368421,0.2,0.6235294117647059,0.2,0.5336470588235294,0.609475,0.507,0.07386363636363637,0.1111111111111111,0.16666666666666666,0.12777777777777777,7.0027027027027025,25.752542372881358,0.11602209944751381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629027-1630168-1630180-1630552-203992,1610612737,"Trae Young, Onyeka Okongwu, Saddiq Bey, Jalen Johnson, Bogdan Bogdanovic","Young, Okongwu, Bey, Johnson, Bogdanovic",1629027-1630168-1630180-1630552-203992,ATL,2139.0,5,36.0,-11.0,76.0,79.0,18.0,8.0,6.0,155.0,10.0,17.0,,3.0,2.0,3.0,5.0,14.0,2.0,8.0,3.0,6.0,,,9.0,23.0,1.0,3.0,6.0,17.0,39.0,12.0,29.0,6.0,76.0,87.0,,5.0,,1.0,3.0,3.0,4.0,8.0,4.0,7.0,2.0,22.0,18.0,16.0,33.0,3.0,,23.0,9.0,3.0,,9.0,11.0,20.0,8.0,3.0,5.0,3.0,1.0,51.0,2.0,6.0,11.0,15.0,3.0,29.0,8.0,37.0,2.0,8.0,5.0,3.0,9.0,1.0,6.0,4.0,1.0,3.0,,13.0,,3.0,5.0,7.0,,1.0,10.0,,1.0,,8.0,2.0,4.0,1.0,6.0,3.0,3.0,6.0,6.0,73.0,22.0,18.0,,1.0,0.5294117647058824,0.5294117647058824,0.9166666666666666,0.41379310344827586,,0.5714285714285714,0.41379310344827586,0.4358974358974359,,0.5,0.5147058823529411,,0.6666666666666666,0.5352112676056338,0.1875,0.6875,0.4264705882352941,,0.07692307692307693,,0.21428571428571427,,0.6923076923076923,1.0,0.7894736842105263,0.2727272727272727,0.7333333333333333,0.11764705882352941,0.7647058823529411,0.20512820512820512,0.5714285714285714,,0.3333333333333333,0.07142857142857142,0.3333333333333333,1.0,0.5555555555555556,1.0,0.6666666666666666,1.0,0.05555555555555555,104.34782608695653,1.0,14.197368421052632,13.417721518987342,13.421052631578947,13.08860759493671,0.25,0.5882352941176471,0.5882352941176471,0.5,0.20588235294117646,0.35714285714285715,0.45454545454545453,0.6,0.11764705882352941,0.25,0.25,0.5,0.08823529411764706,0.5,0.5,1.0,0.3382352941176471,0.391304347826087,0.391304347826087,0.8888888888888888,0.5,,,,,,0.16666666666666666,0.2,0.6666666666666666,0.4,0.5,0.6764705882352942,0.391304347826087,0.5162119402985075,0.50255,0.49123,0.05714285714285714,0.0975609756097561,0.039473684210526314,0.2894736842105263,7.851282051282051,26.417241379310347,0.23684210526315788,1.0,1.0,1.0,0.06666666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1627749-1629631-1630168-1630180-203992,1610612737,"Dejounte Murray, De'Andre Hunter, Onyeka Okongwu, Saddiq Bey, Bogdan Bogdanovic","Murray, Hunter, Okongwu, Bey, Bogdanovic",1627749-1629631-1630168-1630180-203992,ATL,1417.0,5,24.0,-17.0,48.0,51.0,5.0,9.0,8.0,99.0,4.0,5.0,3.0,3.0,1.0,1.0,14.0,22.0,2.0,7.0,1.0,3.0,,,4.0,16.0,2.0,,,20.0,34.0,5.0,19.0,7.0,62.0,79.0,5.0,6.0,,2.0,,10.0,3.0,6.0,,,,6.0,10.0,30.0,12.0,3.0,4.0,16.0,4.0,2.0,,5.0,4.0,9.0,3.0,1.0,1.0,3.0,1.0,22.0,6.0,4.0,6.0,4.0,1.0,11.0,10.0,21.0,3.0,2.0,2.0,,1.0,,1.0,1.0,,,,2.0,1.0,,8.0,10.0,,,5.0,,,1.0,7.0,1.0,4.0,,,,,,,52.0,6.0,5.0,1.0,,0.25,0.2777777777777778,0.8,0.2631578947368421,,,0.2631578947368421,0.5882352941176471,0.8333333333333334,0.5,0.5188679245283019,0.625,0.5,0.5535714285714286,0.625,0.5,0.3584905660377358,,0.058823529411764705,,0.09090909090909091,,0.5,1.0,0.8,0.2857142857142857,1.0,0.42857142857142855,0.9090909090909091,0.35714285714285715,,0.5,,0.4166666666666667,0.5,0.6666666666666666,1.0,1.0,1.0,,0.11538461538461539,100.60691601976005,,15.395833333333334,13.294117647058824,14.75,13.156862745098039,0.09433962264150944,0.8,0.8,0.25,0.41509433962264153,0.6363636363636364,0.7,0.21428571428571427,0.1320754716981132,0.2857142857142857,0.2857142857142857,0.5,0.05660377358490566,0.3333333333333333,0.3333333333333333,1.0,0.3018867924528302,0.25,0.25,0.75,0.375,1.0,0.3333333333333333,,,,0.25,0.16666666666666666,1.0,,,0.4528301886792453,0.25,0.5092163461538461,0.7201,0.4970666666666667,0.07142857142857142,0.10810810810810811,0.16129032258064516,0.0967741935483871,9.43235294117647,26.57894736842105,0.10416666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627749-1628381-1629631-203991-203992,1610612737,"Dejounte Murray, John Collins, De'Andre Hunter, Clint Capela, Bogdan Bogdanovic","Murray, Collins, Hunter, Capela, Bogdanovic",1627749-1628381-1629631-203991-203992,ATL,1237.0,4,21.0,17.0,42.0,42.0,,3.0,7.0,84.0,9.0,14.0,3.0,6.0,,,3.0,10.0,4.0,4.0,1.0,6.0,,,6.0,10.0,,,,16.0,28.0,7.0,16.0,1.0,54.0,37.0,3.0,7.0,,,,6.0,,,,,,,12.0,20.0,12.0,9.0,6.0,10.0,6.0,5.0,,6.0,4.0,10.0,3.0,1.0,4.0,1.0,1.0,24.0,2.0,5.0,9.0,11.0,1.0,21.0,7.0,28.0,,4.0,2.0,2.0,2.0,,2.0,2.0,,,,4.0,1.0,,1.0,5.0,,1.0,4.0,,1.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,48.0,,,,,0.375,0.46153846153846156,0.5714285714285714,0.4375,,,0.4375,0.5714285714285714,0.42857142857142855,,0.6022727272727273,0.42857142857142855,,0.6,0.42857142857142855,,0.36363636363636365,,0.17857142857142858,0.14285714285714285,0.3,,0.5,1.0,0.8461538461538461,0.4166666666666667,1.0,0.2222222222222222,0.9090909090909091,0.3333333333333333,0.4,0.42857142857142855,,0.25,0.2,1.0,0.6666666666666666,1.0,1.0,1.0,,97.78496362166531,1.0,13.380952380952381,16.071428571428573,12.833333333333334,15.880952380952381,0.3181818181818182,0.6428571428571429,0.75,0.4444444444444444,0.22727272727272727,0.3,0.42857142857142855,0.3333333333333333,0.09090909090909091,1.0,1.0,0.25,0.13636363636363635,0.16666666666666666,0.16666666666666666,1.0,0.22727272727272727,0.6,0.6,0.5,0.8571428571428571,0.5,,,,,,,,,,0.6818181818181818,0.6,0.5361522727272727,0.6027666666666667,,0.022222222222222223,0.034482758620689655,0.1111111111111111,,5.867857142857143,25.51875,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628381-1629027-1629631-203991-203992,1610612737,"John Collins, Trae Young, De'Andre Hunter, Clint Capela, Bogdan Bogdanovic","Collins, Young, Hunter, Capela, Bogdanovic",1628381-1629027-1629631-203991-203992,ATL,1065.0,2,18.0,5.0,35.0,35.0,2.0,5.0,2.0,70.0,6.0,7.0,1.0,2.0,,,3.0,9.0,3.0,7.0,2.0,3.0,,,5.0,10.0,,,,12.0,23.0,7.0,13.0,,45.0,40.0,1.0,3.0,,,,2.0,1.0,2.0,,,,2.0,10.0,14.0,12.0,9.0,2.0,10.0,5.0,3.0,,5.0,4.0,9.0,2.0,2.0,4.0,1.0,,22.0,,4.0,6.0,8.0,,14.0,4.0,18.0,,2.0,2.0,,,,,3.0,1.0,,,3.0,1.0,,1.0,4.0,,1.0,6.0,,2.0,1.0,,,,,2.0,1.0,1.0,3.0,1.0,43.0,2.0,2.0,1.0,,0.4166666666666667,0.45454545454545453,0.5714285714285714,0.5384615384615384,,,0.5384615384615384,0.5217391304347826,0.3333333333333333,0.5,0.625,0.3333333333333333,0.5,0.625,0.3333333333333333,0.5,0.3611111111111111,,0.13043478260869565,,0.1111111111111111,,,,0.7272727272727273,0.36363636363636365,0.6666666666666666,,0.7,0.23529411764705882,1.0,0.3333333333333333,0.25,,,1.0,0.6666666666666666,0.6666666666666666,0.625,1.0,,94.64788732394366,0.3333333333333333,14.257142857142858,16.17142857142857,14.0,15.542857142857143,0.19444444444444445,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.25,0.3333333333333333,0.375,0.3333333333333333,0.19444444444444445,0.42857142857142855,0.6,,0.08333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.2777777777777778,0.5,0.5,0.4,0.6666666666666666,0.5,,,,,,,,,,0.5555555555555556,0.5,0.49981805555555553,0.5212666666666667,0.4058,,,0.044444444444444446,0.044444444444444446,9.147826086956522,25.700000000000003,0.05714285714285714,,,,,,1.0,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,
1627749-1629027-1629631-1630180-203991,1610612737,"Dejounte Murray, Trae Young, De'Andre Hunter, Saddiq Bey, Clint Capela","Murray, Young, Hunter, Bey, Capela",1627749-1629027-1629631-1630180-203991,ATL,857.0,3,14.0,-1.0,31.0,31.0,20.0,14.0,8.0,62.0,4.0,11.0,3.0,4.0,3.0,5.0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,7.0,11.0,1.0,4.0,7.0,6.0,17.0,10.0,15.0,7.0,49.0,50.0,3.0,6.0,2.0,2.0,4.0,16.0,4.0,6.0,7.0,11.0,2.0,31.0,,12.0,18.0,12.0,6.0,11.0,7.0,1.0,,,6.0,6.0,5.0,1.0,,,,18.0,2.0,7.0,7.0,1.0,,8.0,9.0,17.0,2.0,2.0,,2.0,3.0,,2.0,1.0,,1.0,,4.0,,4.0,1.0,4.0,,1.0,5.0,,,,8.0,,3.0,1.0,1.0,,1.0,1.0,1.0,33.0,31.0,20.0,,1.0,,,0.6,0.6666666666666666,1.0,0.6363636363636364,0.6666666666666666,0.35294117647058826,0.5,0.6666666666666666,0.65625,0.75,0.8529411764705882,0.6805555555555556,0.8,0.8611111111111112,0.46875,,0.058823529411764705,0.09090909090909091,,,0.75,,0.5,0.6363636363636364,1.0,0.4,0.8888888888888888,0.5625,0.7142857142857143,0.6666666666666666,,0.5,,,1.0,,1.0,,0.13333333333333333,104.17736289381564,1.0,14.516129032258064,13.129032258064516,13.129032258064516,12.35483870967742,0.34375,0.36363636363636365,0.4,,0.125,0.25,0.25,,0.0625,0.5,0.5,,0.125,0.75,0.75,0.3333333333333333,0.34375,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.5,0.75,,0.125,1.0,,0.125,0.29411764705882354,0.6,0.4117647058823529,0.5714285714285714,0.8125,0.6363636363636364,0.5326734375,0.4974083333333333,0.5548882352941176,0.08571428571428572,0.15,0.32653061224489793,0.6326530612244898,5.370588235294117,26.259999999999998,0.6451612903225806,3.0,4.0,,0.23529411764705882,0.75,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
1629027-1629631-1630168-1630180-203992,1610612737,"Trae Young, De'Andre Hunter, Onyeka Okongwu, Saddiq Bey, Bogdan Bogdanovic","Young, Hunter, Okongwu, Bey, Bogdanovic",1629027-1629631-1630168-1630180-203992,ATL,834.0,4,14.0,9.0,29.0,30.0,10.0,3.0,6.0,59.0,5.0,8.0,2.0,2.0,,1.0,4.0,8.0,,2.0,1.0,2.0,,,6.0,14.0,3.0,4.0,6.0,9.0,18.0,7.0,16.0,3.0,42.0,33.0,3.0,4.0,,3.0,1.0,7.0,,2.0,5.0,8.0,2.0,17.0,10.0,8.0,15.0,6.0,2.0,13.0,6.0,4.0,,5.0,5.0,10.0,4.0,1.0,3.0,2.0,,25.0,3.0,5.0,8.0,3.0,2.0,13.0,8.0,21.0,,1.0,1.0,,2.0,,2.0,1.0,,,,3.0,1.0,1.0,3.0,5.0,,1.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,35.0,17.0,10.0,,1.0,0.5555555555555556,0.625,0.7142857142857143,0.4375,,0.625,0.4666666666666667,0.5,0.75,,0.5735294117647058,0.42857142857142855,0.75,0.6,0.5,0.7727272727272727,0.47058823529411764,,0.2222222222222222,0.25,0.25,,0.6666666666666666,1.0,0.6,0.5555555555555556,0.8888888888888888,0.375,0.7857142857142857,0.47058823529411764,0.6666666666666666,0.5,0.5,0.42857142857142855,,0.5,0.6666666666666666,,0.8571428571428571,1.0,,101.8705035971223,0.5,14.0,14.266666666666667,12.793103448275861,13.9,0.23529411764705882,0.625,0.8333333333333334,0.6,0.23529411764705882,0.5,0.6666666666666666,0.5,0.058823529411764705,,,,0.058823529411764705,0.5,0.5,1.0,0.4117647058823529,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.2857142857142857,1.0,,,,,0.42857142857142855,0.1,,0.6,0.6666666666666666,0.7058823529411765,0.46153846153846156,0.526789393939394,0.5638,0.5329611111111111,0.029411764705882353,0.05555555555555555,0.16666666666666666,0.40476190476190477,6.138888888888889,27.31875,0.3448275862068966,1.0,2.0,,0.2,0.5,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
1627749-1629027-1629631-1630168-1630180,1610612737,"Dejounte Murray, Trae Young, De'Andre Hunter, Onyeka Okongwu, Saddiq Bey","Murray, Young, Hunter, Okongwu, Bey",1627749-1629027-1629631-1630168-1630180,ATL,437.0,3,7.0,,16.0,14.0,4.0,1.0,5.0,30.0,1.0,3.0,,1.0,,1.0,2.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,,3.0,1.0,,,5.0,12.0,1.0,4.0,6.0,19.0,19.0,,4.0,1.0,2.0,2.0,5.0,,1.0,,,4.0,4.0,2.0,8.0,3.0,,,3.0,,,,1.0,1.0,2.0,,1.0,1.0,,,5.0,2.0,4.0,5.0,,,5.0,6.0,11.0,1.0,,,,1.0,,,1.0,,1.0,,2.0,,1.0,1.0,4.0,,1.0,5.0,,,,6.0,,1.0,2.0,1.0,1.0,,1.0,,14.0,2.0,3.0,,1.0,0.2,0.2,1.0,0.25,0.5,,0.25,0.4166666666666667,,,0.40625,0.25,,0.5,0.35714285714285715,0.6666666666666666,0.25,,,,,,0.5,,,0.5714285714285714,0.8333333333333334,0.6666666666666666,0.625,0.6,0.5,0.3333333333333333,1.0,0.6666666666666666,,,,,1.0,,0.1,98.8558352402746,,14.8125,14.285714285714286,12.625,14.071428571428571,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.3125,0.4,0.4,,0.25,0.5,0.5,,0.0625,1.0,1.0,1.0,0.1875,,,,0.16666666666666666,,,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,,,,0.4375,,0.548234375,0.5003125,0.9305,0.058823529411764705,0.07692307692307693,0.2631578947368421,0.21052631578947367,8.799999999999999,25.1,0.25,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1628381-1629027-1629631-1630168-203992,1610612737,"John Collins, Trae Young, De'Andre Hunter, Onyeka Okongwu, Bogdan Bogdanovic","Collins, Young, Hunter, Okongwu, Bogdanovic",1628381-1629027-1629631-1630168-203992,ATL,433.0,1,7.0,9.0,13.0,13.0,7.0,,,26.0,2.0,2.0,,,,,1.0,2.0,,1.0,1.0,1.0,,,2.0,5.0,,2.0,4.0,3.0,5.0,3.0,6.0,5.0,20.0,11.0,,,,,,,,1.0,2.0,4.0,5.0,11.0,4.0,2.0,3.0,6.0,,5.0,2.0,,,2.0,1.0,3.0,,1.0,2.0,,,7.0,,,2.0,2.0,1.0,5.0,,5.0,,2.0,2.0,,,,,,,,,,,,1.0,2.0,,,6.0,,2.0,1.0,5.0,,1.0,1.0,1.0,,1.0,1.0,,20.0,11.0,7.0,,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,,0.5,0.5,0.6,,,0.6818181818181818,,0.6,0.7307692307692307,,0.7142857142857143,0.5454545454545454,,,,,,,0.5,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,,1.0,,1.0,1.0,,,86.46651270207852,,14.384615384615385,18.923076923076923,14.384615384615385,17.76923076923077,0.18181818181818182,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,,0.09090909090909091,,,,0.09090909090909091,1.0,1.0,1.0,0.45454545454545453,0.4,0.4,,,,,,,,,,,0.8,0.5,0.7272727272727273,0.4,0.5028318181818182,,0.46048,0.08333333333333333,0.16666666666666666,,0.55,6.640000000000001,26.71666666666667,0.5384615384615384,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1627749-1630168-1630180-1630552-203992,1610612737,"Dejounte Murray, Onyeka Okongwu, Saddiq Bey, Jalen Johnson, Bogdan Bogdanovic","Murray, Okongwu, Bey, Johnson, Bogdanovic",1627749-1630168-1630180-1630552-203992,ATL,412.0,3,7.0,4.0,14.0,13.0,,,3.0,27.0,3.0,4.0,1.0,1.0,,,2.0,3.0,,1.0,,1.0,,,3.0,6.0,1.0,,,5.0,8.0,3.0,7.0,,19.0,15.0,1.0,2.0,1.0,1.0,,5.0,,,,,,,6.0,4.0,9.0,,2.0,6.0,3.0,1.0,,3.0,3.0,6.0,3.0,,1.0,2.0,,15.0,2.0,1.0,4.0,1.0,,5.0,3.0,8.0,,1.0,1.0,,1.0,,,1.0,,1.0,,2.0,,,3.0,5.0,1.0,,,,,,,,,,,,,,,14.0,,,,,0.6,0.75,1.0,0.42857142857142855,1.0,,0.42857142857142855,0.625,0.5,,0.6333333333333333,0.8333333333333334,,0.6333333333333333,0.8333333333333334,,0.4666666666666667,,0.125,0.25,,,0.5,,0.3333333333333333,0.3333333333333333,1.0,0.5,0.7142857142857143,0.42857142857142855,1.0,,,0.3333333333333333,1.0,,0.5,,1.0,,,94.36893203883496,,12.785714285714286,17.923076923076923,11.785714285714286,16.846153846153847,0.26666666666666666,0.75,1.0,0.3333333333333333,0.2,0.6666666666666666,0.6666666666666666,1.0,0.06666666666666667,,,,0.06666666666666667,,,,0.4,0.5,0.5,1.0,0.3333333333333333,1.0,,,,,0.3333333333333333,,,,,0.7333333333333333,0.5,0.5689033333333333,0.726,,,,0.2631578947368421,,5.4125,25.52857142857143,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
